GRUP;TAHSILATAY;SORUMLUAVUKAT;DEVIR;ANAPARA;FAIZ;TAHSILATDURUM;CARIYILSEVK;ODEMEGUN;ANAPARAFAIZ
GRUP 2;Nisan;;2016;0;0.01;Yasal Takip;;19;0.01
GRUP 2;Ekim;;2015;617.37;13.57;Yasal Takip;;16;630.94
GRUP 2;Ocak;;2020;422.06;9.03;İdari Takip;;31;431.09
GRUP 2;Temmuz;;2020;98.22;20.58;İdari Takip;;30;118.8
GRUP 2;Kasım;;2021/07;6019.99;376.51;Yasal Takip;;7;6396.5
GRUP 2;Kasım;;2021/04;1178.94;159.52;Yasal Takip;;20;1338.46
GRUP 2;Temmuz;;2020;15.02;1.96;İdari Takip;;2;16.98
GRUP 2;Eylül;;2020;55143.79;16321.15;Yasal Takip;;10;71464.94
GRUP 2;Eylül;;2019;143351.83;48120.73;Yasal Takip;;13;191472.56
GRUP 2;Aralık;;2016;11734.89;4071.1;Yasal Takip;;3;15805.99
GRUP 2;Kasım;;2018;15939.57;13054.44;Yasal Takip;;23;28994.01
GRUP 2;Haziran;;2015;4697.14;2330.35;Yasal Takip;;14;7027.49
GRUP 2;Eylül;;2014;3906.44;1720.89;Yasal Takip;;24;5627.33
GRUP 2;Şubat;;2017;9729.22;5200.23;Yasal Takip;;8;14929.45
GRUP 2;Mayıs;;2021/02;18229.58;2097.51;Yasal Takip;;20;20327.09
GRUP 2;Haziran;;2014;7563.97;923.52;Yasal Takip;;18;8487.49
GRUP 2;Aralık;;2016;2373.5;685.89;Yasal Takip;;7;3059.39
GRUP 2;Eylül;;2017;9330.46;4136.68;Yasal Takip;;7;13467.14
GRUP 2;Şubat;;2020;959;336.72;Yasal Takip;;28;1295.72
GRUP 2;Aralık;;2020;26593.91;5575.15;Yasal Takip;2021;17;32169.06
GRUP 2;Eylül;;2021/01;16378.66;3175.9;Yasal Takip;;29;19554.56
